id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo
60429,65290,C. Zarour,,,,,,,
66668,97860,J. Oosterlen,,,,,,,
1319,44841,G. Bigirimana,,,,,,,https://media.api-sports.io/football/players/44841.png
89056,358943,Valentin Grishin,,,,,,,https://media.api-sports.io/football/players/358943.png
1361,1650,Suso,,,,,,,https://media.api-sports.io/football/players/1650.png
102704,69358,G. Shaw,,,,,,,
215096,624951,L. Rebelo,,,,,,,
70420,142410,David Grilo,,,,,,,https://media.api-sports.io/football/players/142410.png
48462,15412,D. Pranjić,,,,,,,
44599,457731,Andre Harriman-Annous,,,,,,,https://media.api-sports.io/football/players/457731.png
70377,336603,J. Meireles,,,,,,,https://media.api-sports.io/football/players/336603.png
35574,88935,T. Lee,,,,,,,https://media.api-sports.io/football/players/88935.png
154105,638165,G. Bouchouicha,,,,,,,
1323,104092,E. Mayuka,,,,,,,
118217,81277,C. Malán,,,,,,,
1325,114764,R. Ferdinand,,,,,,,
215097,565712,Lucas Furtado,,,,,,,
1327,20401,D. Fox,,,,,,,https://media.api-sports.io/football/players/20401.png
46759,304302,B. Andreucci,,,,,,,https://media.api-sports.io/football/players/304302.png
112817,50415,Fawaz Awana Al Musabi,,,,,,,https://media.api-sports.io/football/players/50415.png
1331,102734,R. Chaplow,,,,,,,
45879,216291,Milan Aleksić,,,,,,,https://media.api-sports.io/football/players/216291.png
