fixture_player_id,fixture_id,player_id,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total
3768319,140368,35936,0,0,,,,3.0,1.0,1.0,,false,90.0,15.0,D,7.5,false,,0.0,,,,32,,39.0,,0,,0,,,,2.0,1.0,
5435292,147257,62105,0,0,,,,,,,,false,1.0,99.0,M,,true,0.0,0.0,,,,1,,2.0,,0,,0,,,,,,
3547605,255801,77796,0,0,,,,7.0,6.0,,1.0,false,90.0,3.0,D,7.5,false,,0.0,,,,80,,90.0,,0,,0,,,,1.0,1.0,1.0
6867600,102426,130964,0,0,5.0,,1.0,11.0,5.0,,1.0,false,66.0,7.0,M,6.3,false,,0.0,,,,8,2.0,15.0,,0,,0,,,,,,1.0
4393689,272756,50676,0,0,,,,,,,,false,1.0,42.0,F,,true,,0.0,,,,,,,,0,,0,,,,,,
7905388,105316,146815,0,0,,,,,,,,false,0.0,14.0,M,,false,,0.0,,,,,,,,0,,0,,,,,,
4099878,137819,85613,0,1,,3.0,,10.0,3.0,2.0,,false,90.0,25.0,D,7.3,false,,0.0,,,,17,1.0,18.0,,0,,0,,,1.0,2.0,1.0,1.0
2821098,238346,67409,0,0,,,,1.0,,1.0,,false,9.0,25.0,F,6.6,true,,0.0,,,,2,,2.0,,0,,0,,,2.0,,,
5316648,292974,103158,0,1,,,,7.0,4.0,,,false,90.0,22.0,D,7.7,false,0.0,0.0,,,,26,,37.0,,0,,0,,1.0,2.0,1.0,2.0,1.0
5446830,295227,71208,0,1,,,,3.0,1.0,4.0,,false,45.0,88.0,M,6.3,true,0.0,0.0,,,,17,,18.0,,0,,0,,1.0,1.0,,,1.0
4289535,270303,88495,0,0,,,,,,,,false,,29.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
